season,data_source,day,day_idx,algorithm,run,cost,runtime_s
winter,synthetic,day_000,0,GWO,14,37.17588564602498,0.6468956470489502
winter,synthetic,day_000,0,GWO,15,36.8705407927243,0.6377463340759277
winter,synthetic,day_000,0,GWO,16,37.30341647275755,0.7137308120727539
winter,synthetic,day_000,0,GWO,17,38.06690094777441,0.7461943626403809
winter,synthetic,day_000,0,GWO,18,38.46423591125958,0.8601608276367188
winter,synthetic,day_000,0,GWO,19,39.07003434907993,0.6928226947784424
winter,synthetic,day_000,0,Hybrid,0,38.5788248434792,0.41465020179748535
winter,synthetic,day_000,0,Hybrid,1,38.60511993622176,0.46320152282714844
winter,synthetic,day_000,0,Hybrid,2,38.37020546514679,0.4131805896759033
winter,synthetic,day_000,0,Hybrid,3,37.135005132642135,0.5096950531005859
winter,synthetic,day_000,0,Hybrid,4,39.0046854971118,0.47712039947509766
winter,synthetic,day_000,0,Hybrid,5,37.882965513728834,0.48526954650878906
winter,synthetic,day_000,0,Hybrid,6,38.99958514465921,0.5294735431671143
winter,synthetic,day_000,0,Hybrid,7,39.13513540762205,0.5462141036987305
winter,synthetic,day_000,0,Hybrid,8,39.059357507102796,0.4169173240661621
winter,synthetic,day_000,0,Hybrid,9,41.28062692405004,0.4591817855834961
winter,synthetic,day_000,0,Hybrid,10,36.69996227215795,0.4515500068664551
winter,synthetic,day_000,0,Hybrid,11,37.491865978175156,0.42527079582214355
winter,synthetic,day_000,0,Hybrid,12,38.35723534094749,0.43426942825317383
winter,synthetic,day_000,0,Hybrid,13,37.84352301334534,0.39789462089538574
winter,synthetic,day_000,0,Hybrid,14,38.688442569826265,0.4285306930541992
winter,synthetic,day_000,0,Hybrid,15,38.66068518824152,0.43239617347717285
winter,synthetic,day_000,0,Hybrid,16,37.546916005114554,0.39324331283569336
winter,synthetic,day_000,0,Hybrid,17,37.65801896545324,0.5418796539306641
winter,synthetic,day_000,0,Hybrid,18,36.54482910173331,0.437589168548584
winter,synthetic,day_000,0,Hybrid,19,40.63876831724822,0.5265634059906006
winter,synthetic,day_001,1,GA (P=50),0,39.93173724202477,0.4712390899658203
winter,synthetic,day_001,1,GA (P=50),1,40.90939998278005,0.4864232540130615
winter,synthetic,day_001,1,GA (P=50),2,40.20261110212825,0.49076414108276367
winter,synthetic,day_001,1,GA (P=50),3,38.00724043342076,0.47829198837280273
winter,synthetic,day_001,1,GA (P=50),4,40.21515079827323,0.5025959014892578
winter,synthetic,day_001,1,GA (P=50),5,40.06280980789121,0.49849963188171387
winter,synthetic,day_001,1,GA (P=50),6,38.5068451516137,0.4925076961517334
winter,synthetic,day_001,1,GA (P=50),7,40.15640365317416,0.48734116554260254
winter,synthetic,day_001,1,GA (P=50),8,37.22572291191831,0.4942190647125244
winter,synthetic,day_001,1,GA (P=50),9,40.122537886961105,0.5195589065551758
winter,synthetic,day_001,1,GA (P=50),10,40.278845199857,0.5038037300109863
winter,synthetic,day_001,1,GA (P=50),11,39.847356880212736,0.4883849620819092
winter,synthetic,day_001,1,GA (P=50),12,40.099082527985345,0.5270113945007324
winter,synthetic,day_001,1,GA (P=50),13,38.790066953030944,0.6874210834503174
winter,synthetic,day_001,1,GA (P=50),14,39.08168767092975,0.48262715339660645
winter,synthetic,day_001,1,GA (P=50),15,40.28554109821478,0.4925684928894043
winter,synthetic,day_001,1,GA (P=50),16,40.214851182587,0.47345900535583496
winter,synthetic,day_001,1,GA (P=50),17,40.06862848476469,0.504716157913208
winter,synthetic,day_001,1,GA (P=50),18,40.22094932637176,0.4770240783691406
winter,synthetic,day_001,1,GA (P=50),19,38.103404979751424,0.5108535289764404
winter,synthetic,day_001,1,GA (P=100),0,37.693087183031494,0.9513568878173828
winter,synthetic,day_001,1,GA (P=100),1,39.89609267220549,0.9889233112335205
winter,synthetic,day_001,1,GA (P=100),2,39.93905308198603,0.9597318172454834
winter,synthetic,day_001,1,GA (P=100),3,40.05750753678023,0.9799396991729736
winter,synthetic,day_001,1,GA (P=100),4,39.895375543995755,0.9688682556152344
winter,synthetic,day_001,1,GA (P=100),5,40.162906668107695,1.0281243324279785
winter,synthetic,day_001,1,GA (P=100),6,39.87355340645898,0.971930980682373
winter,synthetic,day_001,1,GA (P=100),7,39.97909274144957,1.088815689086914
winter,synthetic,day_001,1,GA (P=100),8,39.779594156131104,0.8988323211669922
winter,synthetic,day_001,1,GA (P=100),9,39.95918990240227,0.9164950847625732
winter,synthetic,day_001,1,GA (P=100),10,39.91493038333917,0.8899705410003662
winter,synthetic,day_001,1,GA (P=100),11,39.787575788063414,0.9091176986694336
winter,synthetic,day_001,1,GA (P=100),12,39.89471569526442,0.9551801681518555
winter,synthetic,day_001,1,GA (P=100),13,36.80012900185155,1.060236930847168
winter,synthetic,day_001,1,GA (P=100),14,39.89182422969073,0.8948216438293457
winter,synthetic,day_001,1,GA (P=100),15,39.898284822566595,0.9635448455810547
winter,synthetic,day_001,1,GA (P=100),16,39.94579190058028,0.8890314102172852
winter,synthetic,day_001,1,GA (P=100),17,39.78116334081809,0.918311357498169
winter,synthetic,day_001,1,GA (P=100),18,39.87949188924505,0.8991298675537109
winter,synthetic,day_001,1,GA (P=100),19,39.81499140642644,0.9525654315948486
winter,synthetic,day_001,1,PSO,0,37.2503442101158,0.38585710525512695
winter,synthetic,day_001,1,PSO,1,39.29720326208021,0.41676878929138184
winter,synthetic,day_001,1,PSO,2,39.826931778889545,0.34023451805114746
winter,synthetic,day_001,1,PSO,3,40.05468443757073,0.3456766605377197
winter,synthetic,day_001,1,PSO,4,40.8959354705,0.33899593353271484
winter,synthetic,day_001,1,PSO,5,37.19184403646476,0.3416786193847656
winter,synthetic,day_001,1,PSO,6,38.02031991240707,0.33066511154174805
winter,synthetic,day_001,1,PSO,7,39.2489527779017,0.3462836742401123
winter,synthetic,day_001,1,PSO,8,42.865786627546846,0.340709924697876
winter,synthetic,day_001,1,PSO,9,42.97080958676865,0.34368205070495605
winter,synthetic,day_001,1,PSO,10,38.72310346274385,0.3381168842315674
winter,synthetic,day_001,1,PSO,11,43.50440591673482,0.3515794277191162
winter,synthetic,day_001,1,PSO,12,40.61155507314002,0.33667731285095215
winter,synthetic,day_001,1,PSO,13,42.25933074748684,0.3471207618713379
winter,synthetic,day_001,1,PSO,14,38.691290374973605,0.3415224552154541
winter,synthetic,day_001,1,PSO,15,42.84921554494582,0.34461259841918945
winter,synthetic,day_001,1,PSO,16,40.83641011908235,0.3575577735900879
winter,synthetic,day_001,1,PSO,17,40.642386600301826,0.3516261577606201
winter,synthetic,day_001,1,PSO,18,40.67828601770871,0.44792819023132324
winter,synthetic,day_001,1,PSO,19,40.38464874432288,0.3430812358856201
winter,synthetic,day_001,1,GWO,0,36.58210146711187,0.6060616970062256
winter,synthetic,day_001,1,GWO,1,38.2512294285545,0.6093125343322754
winter,synthetic,day_001,1,GWO,2,38.46234695769479,0.6062717437744141
winter,synthetic,day_001,1,GWO,3,37.952783882878656,0.6007978916168213
winter,synthetic,day_001,1,GWO,4,38.8069086886814,0.601468563079834
winter,synthetic,day_001,1,GWO,5,39.414417548811315,0.5949621200561523
winter,synthetic,day_001,1,GWO,6,38.35163804755109,0.6008212566375732
winter,synthetic,day_001,1,GWO,7,37.63975508686656,0.6018764972686768
winter,synthetic,day_001,1,GWO,8,38.491177667282194,0.6723606586456299
winter,synthetic,day_001,1,GWO,9,38.10162178370329,0.606879472732544
winter,synthetic,day_001,1,GWO,10,37.38296727449676,0.6027681827545166
winter,synthetic,day_001,1,GWO,11,37.45910495211026,0.6200480461120605
winter,synthetic,day_001,1,GWO,12,39.06636089844006,0.6603381633758545
winter,synthetic,day_001,1,GWO,13,38.635633435482234,0.6878840923309326
winter,synthetic,day_001,1,GWO,14,37.61831800354475,0.74674391746521
winter,synthetic,day_001,1,GWO,15,39.80767248398889,0.6631433963775635
winter,synthetic,day_001,1,GWO,16,38.96257115513312,0.6429610252380371
winter,synthetic,day_001,1,GWO,17,38.889007702607095,0.6357123851776123
winter,synthetic,day_001,1,GWO,18,38.10120400770644,0.6401073932647705
winter,synthetic,day_001,1,GWO,19,37.399079372754784,0.6333472728729248
winter,synthetic,day_001,1,Hybrid,0,37.45404043422112,0.389218807220459
winter,synthetic,day_001,1,Hybrid,1,38.95466105132634,0.4407205581665039
winter,synthetic,day_001,1,Hybrid,2,39.77721118052921,0.3951416015625
winter,synthetic,day_001,1,Hybrid,3,38.90905306357821,0.4173393249511719
winter,synthetic,day_001,1,Hybrid,4,38.859954643172195,0.42524218559265137
winter,synthetic,day_001,1,Hybrid,5,37.766978746945476,0.4271860122680664
winter,synthetic,day_001,1,Hybrid,6,38.38641853494869,0.3994579315185547
winter,synthetic,day_001,1,Hybrid,7,38.6031065884744,0.393632173538208
winter,synthetic,day_001,1,Hybrid,8,41.434216070992925,0.4166872501373291
winter,synthetic,day_001,1,Hybrid,9,39.94808607449712,0.4073801040649414
winter,synthetic,day_001,1,Hybrid,10,38.40550070979284,0.4181547164916992
winter,synthetic,day_001,1,Hybrid,11,41.05534567351461,0.4276454448699951
winter,synthetic,day_001,1,Hybrid,12,38.404502056407466,0.39815473556518555
winter,synthetic,day_001,1,Hybrid,13,40.23757707343195,0.4116685390472412
winter,synthetic,day_001,1,Hybrid,14,37.856725811007074,0.4083676338195801
winter,synthetic,day_001,1,Hybrid,15,40.082291760554924,0.4177277088165283
winter,synthetic,day_001,1,Hybrid,16,39.946438284374025,0.4370119571685791
winter,synthetic,day_001,1,Hybrid,17,40.96777602160965,0.41864728927612305
winter,synthetic,day_001,1,Hybrid,18,39.96259521716822,0.4357411861419678
winter,synthetic,day_001,1,Hybrid,19,39.506392625961645,0.43451571464538574
winter,synthetic,day_002,2,GA (P=50),0,36.71949478530518,0.48432421684265137
winter,synthetic,day_002,2,GA (P=50),1,36.28601455872192,0.5054762363433838
winter,synthetic,day_002,2,GA (P=50),2,39.2035901606657,0.5135085582733154
winter,synthetic,day_002,2,GA (P=50),3,38.56663161538868,0.550114631652832
