season,data_source,day,day_idx,algorithm,run,cost,runtime_s
cloudy,synthetic,day_000,0,GA (P=100),10,15.178203807616834,0.9044489860534668
cloudy,synthetic,day_000,0,GA (P=100),11,15.051710117312439,0.9139449596405029
cloudy,synthetic,day_000,0,GA (P=100),12,15.316015273914687,0.9029524326324463
cloudy,synthetic,day_000,0,GA (P=100),13,15.26151604882965,0.8889102935791016
cloudy,synthetic,day_000,0,GA (P=100),14,16.035336120820958,0.9027345180511475
cloudy,synthetic,day_000,0,GA (P=100),15,15.158447304997647,0.9590954780578613
cloudy,synthetic,day_000,0,GA (P=100),16,15.109996249847805,0.902026891708374
cloudy,synthetic,day_000,0,GA (P=100),17,15.06373554087,0.8879046440124512
cloudy,synthetic,day_000,0,GA (P=100),18,15.111863366337296,0.9026980400085449
cloudy,synthetic,day_000,0,GA (P=100),19,15.19226256959079,0.8727333545684814
cloudy,synthetic,day_000,0,PSO,0,25.900462435244645,0.33005475997924805
cloudy,synthetic,day_000,0,PSO,1,21.89392809306647,0.3324892520904541
cloudy,synthetic,day_000,0,PSO,2,22.11520128577297,0.3345508575439453
cloudy,synthetic,day_000,0,PSO,3,18.87811350751628,0.32784438133239746
cloudy,synthetic,day_000,0,PSO,4,19.208885854307052,0.31696510314941406
cloudy,synthetic,day_000,0,PSO,5,17.4215127707811,0.34272146224975586
cloudy,synthetic,day_000,0,PSO,6,19.187403978152375,0.3200037479400635
cloudy,synthetic,day_000,0,PSO,7,19.515577970000436,0.3484313488006592
cloudy,synthetic,day_000,0,PSO,8,19.55103092712755,0.3231339454650879
cloudy,synthetic,day_000,0,PSO,9,19.07189700460171,0.33515119552612305
cloudy,synthetic,day_000,0,PSO,10,20.44209213154489,0.32166004180908203
cloudy,synthetic,day_000,0,PSO,11,21.80940620272028,0.32692432403564453
cloudy,synthetic,day_000,0,PSO,12,19.216505456457188,0.3129434585571289
cloudy,synthetic,day_000,0,PSO,13,20.20973181013116,0.3438708782196045
cloudy,synthetic,day_000,0,PSO,14,24.2618526829676,0.326585054397583
cloudy,synthetic,day_000,0,PSO,15,19.240519749978617,0.32570934295654297
cloudy,synthetic,day_000,0,PSO,16,18.095498835029865,0.4324185848236084
cloudy,synthetic,day_000,0,PSO,17,18.52576693036544,0.4940187931060791
cloudy,synthetic,day_000,0,PSO,18,18.594673574577026,0.3287007808685303
cloudy,synthetic,day_000,0,PSO,19,18.82436177818814,0.32775068283081055
cloudy,synthetic,day_000,0,GWO,0,16.665601196788636,0.6058540344238281
cloudy,synthetic,day_000,0,GWO,1,16.32970299963274,0.608661413192749
cloudy,synthetic,day_000,0,GWO,2,17.86546358826803,0.5825257301330566
cloudy,synthetic,day_000,0,GWO,3,17.44336997541676,0.5780231952667236
cloudy,synthetic,day_000,0,GWO,4,16.157998867946034,0.5729489326477051
cloudy,synthetic,day_000,0,GWO,5,15.724963006982161,0.5951886177062988
cloudy,synthetic,day_000,0,GWO,6,16.86217797650694,0.601290225982666
cloudy,synthetic,day_000,0,GWO,7,16.41745741290488,0.5740742683410645
cloudy,synthetic,day_000,0,GWO,8,17.54508784795004,0.584709644317627
cloudy,synthetic,day_000,0,GWO,9,16.20657644611643,0.5595593452453613
cloudy,synthetic,day_000,0,GWO,10,16.658281827343025,0.5743024349212646
cloudy,synthetic,day_000,0,GWO,11,15.693873806289073,0.5795013904571533
